chrom	user	system	cpu	wall
1	12273.66s	20391.15s	111%	8:08:07.28
2	38115.31s	8053.39s	730%	1:45:18.69
3	191378.39s	7744.64s	3027%	1:49:36.86
4	16620.28s	4048.85s	509%	1:07:38.13
5	181432.15s	7519.44s	3082%	1:42:09.03
6	13437.55s	3511.45s	481%	58:42.30
7	131041.23s	5239.40s	3080%	1:13:43.63
8	10854.78s	2035.99s	512%	41:53.41
9	69815.56s	2902.00s	2937%	41:15.47
10	9817.30s	1811.05s	570%	33:59.13
11	84582.86s	3535.04s	2839%	51:43.48
12	9505.49s	1590.59s	606%	30:30.12
13	31818.31s	1304.14s	2571%	21:27.94
14	7069.83s	804.32s	937%	14:00.05
15	14302.51s	799.71s	1707%	14:44.59
16	15297.19s	1108.26s	1437%	19:01.23
17	11109.84s	653.73s	1512%	12:57.76
18	11863.39s	788.82s	1505%	14:00.18
19	6872.08s	351.85s	1495%	8:03.17
20	6995.32s	398.68s	1526%	8:04.27
21	3536.88s	196.77s	1588%	3:55.01
22	4981.93s	150.21s	2289%	3:44.17
X	20326.55s	1561.66s	1269%	28:44.18
